Year	Age	Austria	Belgium	Bulgaria	Croatia	CzechRepublic	France	Germany	Greece	Hungary	Italy	Lithuania	Poland	Portugal	Slovakia	Slovenia	Spain	Switzerland
22	3	0.039207723	0.04087656	0.068869437	0.066426349	0.055838178	0.034266744	0.042067328	0.039871822	0.064037604	0.039534049	0.063151056	0.053765231	0.041244255	0.066981301	0.04421405	0.038103433	0.034509038
22	4	0.141474163	0.134438391	0.185625036	0.18143109	0.166398722	0.113680381	0.144916427	0.132530867	0.160328214	0.141977453	0.186548376	0.140995541	0.127237821	0.173322374	0.131513398	0.125203791	0.131942043
23	1	0.002156543	0.002447089	0.004631572	0.003352859	0.002669554	0.002360063	0.002518439	0.002155614	0.004647677	0.001819884	0.005246773	0.003673067	0.002302747	0.003795818	0.001992128	0.001788479	0.001446883
23	2	0.015369484	0.015303235	0.027704819	0.02036174	0.018659155	0.012227731	0.0164838	0.016002414	0.025810869	0.012824622	0.023480723	0.020422093	0.013525979	0.023287506	0.015215916	0.012180325	0.012860719
23	3	0.043186725	0.043708151	0.069730305	0.065732602	0.05081369	0.033163041	0.039971001	0.042146791	0.056882059	0.037436147	0.058351576	0.051666444	0.037790303	0.065004804	0.041055904	0.036055048	0.031912747
23	4	0.134040775	0.130027683	0.183171842	0.184841449	0.158261179	0.112521989	0.139860646	0.122755313	0.158338324	0.132736002	0.147651055	0.141450855	0.114918806	0.152722584	0.126858057	0.120376085	0.13065856
24	1	0.00179861	0.00231193	0.004598568	0.003259724	0.00261023	0.002316359	0.002448879	0.002170531	0.003973646	0.00169354	0.004950801	0.003369572	0.00231815	0.003646162	0.002330414	0.001683771	0.001456217
24	2	0.015801557	0.01590533	0.024126022	0.018399163	0.019458833	0.012000042	0.015894206	0.015294343	0.021196352	0.012290263	0.028364714	0.021086998	0.013861731	0.019462505	0.014953573	0.011889451	0.00966186
24	3	0.033772989	0.039061438	0.068546612	0.056020133	0.04626321	0.031591887	0.039063636	0.045559244	0.054255339	0.036240451	0.051026053	0.048401664	0.037180782	0.057538036	0.040661136	0.035950892	0.033210893
24	4	0.112939544	0.125264118	0.183580708	0.150055789	0.133006736	0.109204776	0.131019019	0.136857751	0.150094498	0.117928374	0.165115159	0.133406976	0.123014159	0.13922617	0.116383538	0.115310951	0.123727752
25	1	0.00206706	0.00215543	0.004433548	0.003352859	0.002780785	0.002399912	0.002475074	0.002185449	0.004263636	0.001672035	0.005354399	0.003686686	0.001909971	0.00337406	0.002029716	0.001651683	0.001708255
25	2	0.014875685	0.013647475	0.024002616	0.022201656	0.019680966	0.012244597	0.016849969	0.012650876	0.025608033	0.012641185	0.020099499	0.020279613	0.012854477	0.023175006	0.016527633	0.011671296	0.012338457
25	3	0.036102161	0.042328658	0.06510314	0.053765453	0.051477301	0.032578727	0.040745391	0.038435	0.053077845	0.036142621	0.051278657	0.047676157	0.038670722	0.054902706	0.035134379	0.035707864	0.029749171
25	4	0.125888027	0.126675545	0.172541333	0.138460569	0.146475772	0.111995447	0.134205838	0.113781034	0.139292242	0.122935269	0.143681941	0.131130407	0.111399088	0.141357182	0.12103888	0.12342308	0.138102761
26	1	0.00206706	0.002724521	0.004246525	0.003166589	0.003114479	0.002529887	0.002839689	0.002200367	0.004404712	0.001849454	0.005946343	0.003933762	0.001909971	0.003891054	0.002856637	0.00203336	0.001614908
26	2	0.015246034	0.016908821	0.026162234	0.021588351	0.021591308	0.013105527	0.018426356	0.013736586	0.027180011	0.013167569	0.030618863	0.022021032	0.01213501	0.021825006	0.01941341	0.012871149	0.013317699
26	3	0.03862543	0.046757557	0.064565098	0.064171669	0.052140913	0.036853727	0.048184221	0.038375132	0.064762216	0.039784058	0.06340366	0.052573327	0.038602997	0.061051809	0.048556502	0.040811467	0.037429866
26	4	0.145790324	0.161961212	0.164772885	0.18893388	0.163873278	0.124673395	0.170482867	0.10849262	0.159191134	0.135745465	0.150032524	0.142513254	0.108583313	0.165508661	0.126858057	0.139766053	0.145546961
27	1	0.002031267	0.002404407	0.004917607	0.003147962	0.003025494	0.002475753	0.00256687	0.002237661	0.004898479	0.001896496	0.005354399	0.003774232	0.002241135	0.003333245	0.002555938	0.001910075	0.001596238
27	2	0.015369484	0.016256552	0.028136742	0.024777539	0.021991147	0.013425205	0.017613337	0.014586272	0.026165831	0.013685977	0.027049793	0.020532911	0.013046335	0.022275006	0.017314663	0.013198382	0.013187133
27	3	0.039110674	0.039134043	0.071667258	0.065385728	0.056786194	0.032357987	0.042880828	0.043942819	0.066664323	0.043523325	0.054815117	0.049464013	0.039618866	0.067200912	0.046187892	0.041644708	0.0398098
27	4	0.142193523	0.122617693	0.180718648	0.173928301	0.17537808	0.111495233	0.151457794	0.147274325	0.172267549	0.162484419	0.156383107	0.139553714	0.114566834	0.176163725	0.143151752	0.147838611	0.156584914
28	1	0.002040215	0.00205584	0.00436754	0.003725399	0.002847524	0.002375643	0.002542984	0.002319709	0.004929829	0.001981173	0.004547203	0.003643885	0.002248837	0.00331964	0.003006986	0.001908386	0.001773598
28	2	0.013764638	0.014299744	0.024311133	0.025513506	0.017903904	0.012076814	0.016167281	0.013736586	0.023731801	0.013893341	0.024232106	0.020944519	0.013909695	0.023737506	0.013117169	0.012895389	0.012926002
28	3	0.040954602	0.036738081	0.066179225	0.063998232	0.054321351	0.032776408	0.041253828	0.043044805	0.059961661	0.043914644	0.049763032	0.048971705	0.036435812	0.052047765	0.049740807	0.041071855	0.035482648
28	4	0.143392457	0.124381976	0.198708739	0.18143109	0.158822389	0.112983851	0.140938893	0.138780811	0.166297881	0.15974128	0.150826347	0.131282178	0.114390849	0.15982596	0.145479423	0.14257562	0.145290265
29	1	0.002093905	0.002091408	0.004730584	0.003539129	0.002854939	0.002334355	0.002443537	0.002260038	0.004791283	0.00206585	0.005139147	0.003725595	0.00226424	0.003659767	0.002743875	0.001839144	0.001372205
29	2	0.016480531	0.014500443	0.027581412	0.027230761	0.023146238	0.011890414	0.016092806	0.014822295	0.028359357	0.014052851	0.026861947	0.020976181	0.013334121	0.026212507	0.017314663	0.012434839	0.012599588
29	3	0.045127701	0.038044969	0.075003122	0.077699751	0.056880996	0.030981604	0.041566713	0.048432889	0.070763838	0.047164762	0.0538047	0.050163609	0.037316231	0.076204956	0.046977429	0.039301217	0.031047317
29	4	0.158978594	0.110091281	0.211383576	0.248956195	0.167521142	0.110942364	0.138470905	0.161056253	0.18481779	0.183284342	0.134949889	0.137125373	0.109111271	0.196763515	0.154790106	0.135096632	0.137332671
30	1	0.002138646	0.00207718	0.004565564	0.003650891	0.002803031	0.002221236	0.002311836	0.002066107	0.003871758	0.001806443	0.005031521	0.003552447	0.002410568	0.003510111	0.002029716	0.001857721	0.001493556
30	2	0.014320161	0.013898348	0.026347344	0.021220368	0.019592113	0.012160268	0.015726637	0.015624776	0.022413367	0.013175545	0.030994555	0.020627897	0.013382086	0.018000005	0.014428886	0.011719775	0.010314689
30	3	0.040081162	0.039932696	0.080383547	0.055152948	0.052330516	0.032409926	0.039478208	0.049690108	0.051990926	0.039110121	0.048752615	0.045085061	0.038535273	0.052926209	0.045003587	0.036245999	0.031480032
30	4	0.132602055	0.114678418	0.219152025	0.155512363	0.141144279	0.104307937	0.129293823	0.165062627	0.140997862	0.142803058	0.140506649	0.124756012	0.109463243	0.134253806	0.125694221	0.126826217	0.134252312
31	1	0.002299716	0.002283476	0.00436754	0.00359501	0.002936509	0.002407625	0.002529643	0.002394297	0.004532721	0.001901873	0.005784904	0.004054381	0.002610807	0.003836633	0.002443176	0.001847588	0.001577569
31	2	0.014875685	0.015804981	0.026717564	0.02256964	0.021502455	0.012067506	0.016223137	0.015577572	0.027396117	0.013845488	0.02761333	0.02243264	0.013861731	0.025425007	0.014428886	0.011986409	0.010641103
31	3	0.040954602	0.042110844	0.07295856	0.067813845	0.058682228	0.033292888	0.041910886	0.046756596	0.061523988	0.041740651	0.06037241	0.056149039	0.035758566	0.061710642	0.040661136	0.036489027	0.033859966
31	4	0.137397789	0.136026246	0.196664411	0.184159377	0.180990179	0.119182743	0.14383818	0.149357639	0.160654607	0.148129543	0.169878096	0.154427302	0.114566834	0.159115622	0.126858057	0.119742943	0.141696513
32	1	0.002147595	0.00239018	0.004642573	0.003278351	0.003062571	0.002277795	0.002447209	0.002133237	0.005002832	0.001775529	0.005623465	0.003960998	0.002148717	0.003564532	0.0026687	0.00187292	0.001484222
32	2	0.015739833	0.013747825	0.024681353	0.023182945	0.02390149	0.012404822	0.016409325	0.015152729	0.031352235	0.012832598	0.025922718	0.021736073	0.011559436	0.027225007	0.016002946	0.01196217	0.01057582
32	3	0.043963115	0.038625808	0.068546612	0.067640408	0.071859658	0.031215329	0.042959049	0.045678979	0.07058167	0.038349223	0.050015636	0.054464827	0.038873896	0.071153907	0.045398355	0.036159203	0.036348078
32	4	0.176483024	0.123852691	0.190122559	0.208713961	0.223642128	0.110837055	0.147336493	0.138139791	0.200170463	0.138941356	0.163527513	0.152985474	0.111927046	0.202446216	0.146643258	0.114440381	0.135535795
