Year	Age	Canada	Denmark	EnglandandWales	Finland	Netherlands	Norway	Scotland	SouthKorea	Sweden	Taiwan	USA
28	3	32961.50975	6043.863685	64136.27833	6609.645756	18154.92325	4762.104464	6188.485962	41297.61314	11234.3221	17970.49311	265683.5486
28	4	14127.04148	2270.28249	26390.65538	2636.764874	6725.995821	2218.025641	2233.71766	9891.892885	4946.079553	6242.794872	111865.7458
29	1	465657.7524	70353.45245	715939.3399	66832.27611	213041.9838	65617.21018	67994.92086	716489.1188	118646.9419	333790.179	4077506.653
29	2	62726.82133	12144.0641	108378.5755	12066.67746	33744.82576	9285.799715	10493.15795	74752.16994	20962.78428	30926.36551	528062.13
29	3	32961.50975	6043.863685	64136.27833	6609.645756	18154.92325	4762.104464	6188.485962	41297.61314	11234.3221	17970.49311	265683.5486
29	4	14127.04148	2270.28249	26390.65538	2636.764874	6725.995821	2218.025641	2233.71766	9891.892885	4946.079553	6242.794872	111865.7458
30	1	465657.7524	70353.45245	715939.3399	66832.27611	213041.9838	65617.21018	67994.92086	716489.1188	118646.9419	333790.179	4077506.653
30	2	62726.82133	12144.0641	108378.5755	12066.67746	33744.82576	9285.799715	10493.15795	74752.16994	20962.78428	30926.36551	528062.13
30	3	32961.50975	6043.863685	64136.27833	6609.645756	18154.92325	4762.104464	6188.485962	41297.61314	11234.3221	17970.49311	265683.5486
30	4	14127.04148	2270.28249	26390.65538	2636.764874	6725.995821	2218.025641	2233.71766	9891.892885	4946.079553	6242.794872	111865.7458
31	1	465657.7524	70353.45245	715939.3399	66832.27611	213041.9838	65617.21018	67994.92086	716489.1188	118646.9419	333790.179	4077506.653
31	2	62726.82133	12144.0641	108378.5755	12066.67746	33744.82576	9285.799715	10493.15795	74752.16994	20962.78428	30926.36551	528062.13
31	3	32961.50975	6043.863685	64136.27833	6609.645756	18154.92325	4762.104464	6188.485962	41297.61314	11234.3221	17970.49311	265683.5486
31	4	14127.04148	2270.28249	26390.65538	2636.764874	6725.995821	2218.025641	2233.71766	9891.892885	4946.079553	6242.794872	111865.7458
32	1	465657.7524	70353.45245	715939.3399	66832.27611	213041.9838	65617.21018	67994.92086	716489.1188	118646.9419	333790.179	4077506.653
32	2	62726.82133	12144.0641	108378.5755	12066.67746	33744.82576	9285.799715	10493.15795	74752.16994	20962.78428	30926.36551	528062.13
32	3	32961.50975	6043.863685	64136.27833	6609.645756	18154.92325	4762.104464	6188.485962	41297.61314	11234.3221	17970.49311	265683.5486
32	4	14127.04148	2270.28249	26390.65538	2636.764874	6725.995821	2218.025641	2233.71766	9891.892885	4946.079553	6242.794872	111865.7458
33	1	465657.7524	70353.45245	715939.3399	66832.27611	213041.9838	65617.21018	67994.92086	716489.1188	118646.9419	333790.179	4077506.653
33	2	62726.82133	12144.0641	108378.5755	12066.67746	33744.82576	9285.799715	10493.15795	74752.16994	20962.78428	30926.36551	528062.13
33	3	32961.50975	6043.863685	64136.27833	6609.645756	18154.92325	4762.104464	6188.485962	41297.61314	11234.3221	17970.49311	265683.5486
33	4	14127.04148	2270.28249	26390.65538	2636.764874	6725.995821	2218.025641	2233.71766	9891.892885	4946.079553	6242.794872	111865.7458
34	1	465657.7524	70353.45245	715939.3399	66832.27611	213041.9838	65617.21018	67994.92086	716489.1188	118646.9419	333790.179	4077506.653
34	2	62726.82133	12144.0641	108378.5755	12066.67746	33744.82576	9285.799715	10493.15795	74752.16994	20962.78428	30926.36551	528062.13
34	3	32961.50975	6043.863685	64136.27833	6609.645756	18154.92325	4762.104464	6188.485962	41297.61314	11234.3221	17970.49311	265683.5486
34	4	14127.04148	2270.28249	26390.65538	2636.764874	6725.995821	2218.025641	2233.71766	9891.892885	4946.079553	6242.794872	111865.7458
35	1	465657.7524	70353.45245	715939.3399	66832.27611	213041.9838	65617.21018	67994.92086	716489.1188	118646.9419	333790.179	4077506.653
35	2	62726.82133	12144.0641	108378.5755	12066.67746	33744.82576	9285.799715	10493.15795	74752.16994	20962.78428	30926.36551	528062.13
35	3	32961.50975	6043.863685	64136.27833	6609.645756	18154.92325	4762.104464	6188.485962	41297.61314	11234.3221	17970.49311	265683.5486
35	4	14127.04148	2270.28249	26390.65538	2636.764874	6725.995821	2218.025641	2233.71766	9891.892885	4946.079553	6242.794872	111865.7458
36	1	465657.7524	70353.45245	715939.3399	66832.27611	213041.9838	65617.21018	67994.92086	716489.1188	118646.9419	333790.179	4077506.653
36	2	62726.82133	12144.0641	108378.5755	12066.67746	33744.82576	9285.799715	10493.15795	74752.16994	20962.78428	30926.36551	528062.13
36	3	32961.50975	6043.863685	64136.27833	6609.645756	18154.92325	4762.104464	6188.485962	41297.61314	11234.3221	17970.49311	265683.5486
36	4	14127.04148	2270.28249	26390.65538	2636.764874	6725.995821	2218.025641	2233.71766	9891.892885	4946.079553	6242.794872	111865.7458
37	1	465657.7524	70353.45245	715939.3399	66832.27611	213041.9838	65617.21018	67994.92086	716489.1188	118646.9419	333790.179	4077506.653
37	2	62726.82133	12144.0641	108378.5755	12066.67746	33744.82576	9285.799715	10493.15795	74752.16994	20962.78428	30926.36551	528062.13
37	3	32961.50975	6043.863685	64136.27833	6609.645756	18154.92325	4762.104464	6188.485962	41297.61314	11234.3221	17970.49311	265683.5486
37	4	14127.04148	2270.28249	26390.65538	2636.764874	6725.995821	2218.025641	2233.71766	9891.892885	4946.079553	6242.794872	111865.7458
38	1	465657.7524	70353.45245	715939.3399	66832.27611	213041.9838	65617.21018	67994.92086	716489.1188	118646.9419	333790.179	4077506.653
38	2	62726.82133	12144.0641	108378.5755	12066.67746	33744.82576	9285.799715	10493.15795	74752.16994	20962.78428	30926.36551	528062.13
38	3	32961.50975	6043.863685	64136.27833	6609.645756	18154.92325	4762.104464	6188.485962	41297.61314	11234.3221	17970.49311	265683.5486
38	4	14127.04148	2270.28249	26390.65538	2636.764874	6725.995821	2218.025641	2233.71766	9891.892885	4946.079553	6242.794872	111865.7458
39	1	465657.7524	70353.45245	715939.3399	66832.27611	213041.9838	65617.21018	67994.92086	716489.1188	118646.9419	333790.179	4077506.653
39	2	62726.82133	12144.0641	108378.5755	12066.67746	33744.82576	9285.799715	10493.15795	74752.16994	20962.78428	30926.36551	528062.13
39	3	32961.50975	6043.863685	64136.27833	6609.645756	18154.92325	4762.104464	6188.485962	41297.61314	11234.3221	17970.49311	265683.5486
39	4	14127.04148	2270.28249	26390.65538	2636.764874	6725.995821	2218.025641	2233.71766	9891.892885	4946.079553	6242.794872	111865.7458
40	1	465657.7524	70353.45245	715939.3399	66832.27611	213041.9838	65617.21018	67994.92086	716489.1188	118646.9419	333790.179	4077506.653
40	2	62726.82133	12144.0641	108378.5755	12066.67746	33744.82576	9285.799715	10493.15795	74752.16994	20962.78428	30926.36551	528062.13
40	3	32961.50975	6043.863685	64136.27833	6609.645756	18154.92325	4762.104464	6188.485962	41297.61314	11234.3221	17970.49311	265683.5486
40	4	14127.04148	2270.28249	26390.65538	2636.764874	6725.995821	2218.025641	2233.71766	9891.892885	4946.079553	6242.794872	111865.7458
41	1	465657.7524	70353.45245	715939.3399	66832.27611	213041.9838	65617.21018	67994.92086	716489.1188	118646.9419	333790.179	4077506.653
41	2	62726.82133	12144.0641	108378.5755	12066.67746	33744.82576	9285.799715	10493.15795	74752.16994	20962.78428	30926.36551	528062.13
41	3	32961.50975	6043.863685	64136.27833	6609.645756	18154.92325	4762.104464	6188.485962	41297.61314	11234.3221	17970.49311	265683.5486
41	4	14127.04148	2270.28249	26390.65538	2636.764874	6725.995821	2218.025641	2233.71766	9891.892885	4946.079553	6242.794872	111865.7458
