Year	Age	Austria	Belgium	Bulgaria	CzechRepublic	Denmark	Finland	Germany	Greece	Hungary	Norway	Poland	Scotland	Slovenia	Switzerland	Taiwan
33	4	0.136198855	0.11450199	0.16804381	0.143669723	0.140511148	0.144115997	0.128838563	0.130127042	0.14469337	0.144272453	0.129233265	0.144601982	0.108236691	0.118080427	0.1263857
34	1	0.002058111	0.002354612	0.004433548	0.002788201	0.002217375	0.002678347	0.002338976	0.002327168	0.004347052	0.001432551	0.003756723	0.00263255	0.002819049	0.001530895	0.002669342
34	2	0.016048457	0.013998697	0.026162234	0.021902294	0.015151435	0.013591148	0.016161075	0.013028514	0.023554962	0.015615241	0.02051708	0.018107037	0.016527633	0.011620345	0.015423733
34	3	0.040178211	0.041239585	0.06370423	0.051098095	0.040206069	0.036007981	0.040252598	0.040231028	0.059464474	0.037168441	0.048323931	0.045406906	0.036713453	0.037213509	0.042792371
34	4	0.136198855	0.128792685	0.166817213	0.152649081	0.136987358	0.141840482	0.140986815	0.125639903	0.169800786	0.13390287	0.13507646	0.13475293	0.12103888	0.122700966	0.116294066
35	1	0.001888094	0.002361726	0.004840598	0.002862355	0.002316873	0.002319239	0.002379742	0.002498722	0.004025577	0.002011667	0.003591357	0.002617843	0.002180065	0.001437548	0.002702296
35	2	0.013764638	0.013848174	0.026223937	0.02105819	0.013257506	0.013674021	0.015521831	0.015577572	0.024468959	0.012707575	0.021308634	0.017630536	0.014428886	0.011228648	0.015391398
35	3	0.035422819	0.035649007	0.06940748	0.053847343	0.042687925	0.039487744	0.039619006	0.045319774	0.058739548	0.039688336	0.048816239	0.050254618	0.042240209	0.032778178	0.045129535
35	4	0.139795656	0.117148415	0.184398439	0.155735735	0.129058829	0.127428882	0.133630773	0.136056476	0.161841688	0.137509682	0.137049487	0.132962194	0.108236691	0.132198739	0.123502376
36	1	0.001986525	0.002461317	0.003894481	0.002780785	0.002387943	0.002229462	0.00247339	0.002304791	0.004514438	0.001463031	0.00360303	0.002559015	0.002405589	0.001614908	0.002783186
36	2	0.013949812	0.014500443	0.023632395	0.020880483	0.014986746	0.014419877	0.01603695	0.014539067	0.023681092	0.012492193	0.020279613	0.017630536	0.016002946	0.011685628	0.016523118
36	3	0.041245748	0.041094375	0.061121626	0.055174566	0.040867897	0.043118801	0.039791093	0.036519236	0.055161105	0.040948283	0.046924739	0.049123485	0.041055904	0.036672615	0.04418354
36	4	0.136438642	0.124734833	0.167226079	0.13609339	0.135665936	0.135013934	0.135715384	0.127082198	0.149525958	0.136607979	0.127487895	0.142363561	0.09077916	0.125011235	0.123182007
37	1	0.00190599	0.002084294	0.004356538	0.002914263	0.00241637	0.002079833	0.002446823	0.002036272	0.004577139	0.00163067	0.003758668	0.00248548	0.002518351	0.00152156	0.002684321
