Year	Age	Australia	Austria	Belgium	CzechRepublic	Hungary	Italy	Norway	Scotland	Slovenia	Spain	Switzerland	Taiwan
29	4	6.136940231	0.158978594	0.110091281	0.167521142	0.18481779	0.183284342	0.128492653	0.131619141	0.154790106	0.135096632	0.137332671	0.132312533
30	1	553.4445909	0.002138646	0.00207718	0.002803031	0.003871758	0.001806443	0.00152399	0.003147294	0.002029716	0.001857721	0.001493556	0.002636387
30	2	75.40583327	0.014320161	0.013898348	0.019592113	0.022413367	0.013175545	0.013246032	0.015629232	0.014428886	0.011719775	0.010314689	0.016361444
30	3	24.40745807	0.040081162	0.039932696	0.052330516	0.051990926	0.039110121	0.038428388	0.048961895	0.045003587	0.036245999	0.031480032	0.046576351
30	4	6.027727057	0.132602055	0.114678418	0.141144279	0.140997862	0.142803058	0.113614557	0.135200614	0.125694221	0.126826217	0.134252312	0.120458867
31	1	541.5901726	0.002299716	0.002283476	0.002936509	0.004532721	0.001901873	0.001706869	0.002661964	0.002443176	0.001847588	0.001577569	0.002708288
31	2	75.85026844	0.014875685	0.015804981	0.021502455	0.027396117	0.013845488	0.012815267	0.019155339	0.014428886	0.011986409	0.010641103	0.015650077
31	3	22.92413189	0.040954602	0.042110844	0.058682228	0.061523988	0.041740651	0.037378432	0.051385751	0.040661136	0.036489027	0.033859966	0.045240829
31	4	6.294860065	0.137397789	0.136026246	0.180990179	0.160654607	0.148129543	0.129394356	0.151317244	0.126858057	0.119742943	0.141696513	0.120779237
32	1	550.4759733	0.002147595	0.00239018	0.003062571	0.005002832	0.001775529	0.001356351	0.002529601	0.0026687	0.00187292	0.001484222	0.002585457
32	2	76.75504301	0.015739833	0.013747825	0.02390149	0.031352235	0.012832598	0.012169119	0.020203641	0.016002946	0.01196217	0.01057582	0.015553072
32	3	23.49528806	0.043963115	0.038625808	0.071859658	0.07058167	0.038349223	0.039268353	0.046376448	0.045398355	0.036159203	0.036348078	0.044851301
32	4	5.863188569	0.176483024	0.123852691	0.223642128	0.200170463	0.138941356	0.137960533	0.130723773	0.146643258	0.114440381	0.135535795	0.119017205
33	1	528.6792836	0.002031267	0.002048726	0.002803031	0.003997159	0.001619616	0.001676389	0.002720791	0.002781462	0.001692215	0.001502891	0.002642379
33	2	74.67656989	0.014073262	0.014048872	0.017459638	0.019573665	0.012066949	0.013030649	0.016677534	0.020725127	0.011598578	0.010836951	0.015908756
33	3	22.11763258	0.033870038	0.038553203	0.049391665	0.053258998	0.035077365	0.037588424	0.047345991	0.035134379	0.034857263	0.038187118	0.043571425
33	4	5.970514733	0.136198855	0.11450199	0.143669723	0.14469337	0.123174961	0.144272453	0.144601982	0.108236691	0.112343098	0.118080427	0.1263857
