Year	Age	Australia	Canada	EnglandandWales	France	Italy	Netherlands	NewZealand	Portugal	Spain	USA
51	3	20746.33936	32961.50975	64136.27833	77013.44438	91996.64795	18154.92325	3894.263013	14765.69281	57606.35866	265683.5486
51	4	8806.509231	14127.04148	26390.65538	37983.68686	37548.21557	6725.995821	1513.617853	5682.272739	25270.80024	111865.7458
52	1	303233.5531	465657.7524	715939.3399	777945.1765	744003.5448	213041.9838	58171.60175	129844.8992	592123.3839	4077506.653
52	2	38607.78663	62726.82133	108378.5755	118582.9157	125383.81	33744.82576	7464.409776	20848.76759	82510.1155	528062.13
52	3	20746.33936	32961.50975	64136.27833	77013.44438	91996.64795	18154.92325	3894.263013	14765.69281	57606.35866	265683.5486
52	4	8806.509231	14127.04148	26390.65538	37983.68686	37548.21557	6725.995821	1513.617853	5682.272739	25270.80024	111865.7458
53	1	306878.1673	467952.1143	718874.9154	776287.9401	741142.2091	213763.6396	59524.25123	129078.362	591158.0883	4092016.136
53	2	40035.72199	65285.15705	110839.2557	124402.8273	125815.6204	34618.84566	7693.096987	21386.71254	83800.81955	549201.6811
53	3	21317.34981	33812.06194	64464.8177	75891.28961	93177.27547	18563.97526	4039.000353	14823.62837	57505.3698	272989.6082
53	4	9058.964295	14646.42279	26944.46199	39222.50525	38800.59364	6898.897042	1564.731795	5906.737538	26336.56634	113413.3772
54	1	306878.1673	467952.1143	718874.9154	776287.9401	741142.2091	213763.6396	59524.25123	129078.362	591158.0883	4092016.136
54	2	40035.72199	65285.15705	110839.2557	124402.8273	125815.6204	34618.84566	7693.096987	21386.71254	83800.81955	549201.6811
54	3	21317.34981	33812.06194	64464.8177	75891.28961	93177.27547	18563.97526	4039.000353	14823.62837	57505.3698	272989.6082
54	4	9058.964295	14646.42279	26944.46199	39222.50525	38800.59364	6898.897042	1564.731795	5906.737538	26336.56634	113413.3772
55	1	306878.1673	467952.1143	718874.9154	776287.9401	741142.2091	213763.6396	59524.25123	129078.362	591158.0883	4092016.136
