Year	Age	Australia	Canada	EnglandandWales	France	Italy	Netherlands	NewZealand	Portugal	Spain	USA
50	4	8.005917483	0.131308456	0.157972583	0.132056691	0.150499828	0.162355141	8.224381409	0.145892328	0.145741329	0.146103706
51	1	573.658727	0.00217001	0.001754339	0.002306075	0.001860206	0.001811849	487.2404082	0.002335072	0.0018307	0.003280772
51	2	87.34793356	0.013999164	0.012797732	0.013054157	0.013781684	0.013098304	85.87595873	0.015262523	0.01282267	0.018476992
51	3	30.46452182	0.039345192	0.038215501	0.035279554	0.040990624	0.041972086	26.82589143	0.04404196	0.040776749	0.04732698
51	4	8.387151648	0.127415213	0.131144905	0.130635028	0.149834018	0.1471901	7.280120692	0.144534626	0.140478337	0.147694899
52	1	585.1163619	0.002270925	0.001435876	0.002515893	0.001985206	0.0020043	563.5862099	0.002695524	0.001937096	0.003251887
52	2	88.75353249	0.014597865	0.011616687	0.013384501	0.014411749	0.014787452	69.7833376	0.016020132	0.013986164	0.018437224
52	3	28.6156405	0.040936303	0.034255184	0.037230701	0.042349369	0.048251374	24.78241364	0.049168028	0.042286998	0.046596788
52	4	7.814116443	0.131662387	0.113221895	0.13962124	0.159901074	0.16384191	7.534322984	0.161555075	0.146572327	0.148892763
53	1	633.6824936	0.002247277	0.002477482	0.00250809	0.001841752	0.00207706	514.3088013	0.002479114	0.001935185	0.003411967
53	2	83.23434925	0.014002204	0.0196591	0.012925751	0.014497405	0.015425124	76.23745763	0.014541739	0.013329225	0.018696228
53	3	29.52541525	0.038177616	0.057814481	0.038449735	0.043390408	0.046218549	27.22233788	0.047761586	0.04244821	0.04800549
53	4	8.333913795	0.133138312	0.196403996	0.13790552	0.160770736	0.191334933	8.119218207	0.164388547	0.150551137	0.158949503
54	1	597.1996366	0.002170491	0.002349505	0.002398595	0.001859292	0.002016246	554.8636588	0.002634059	0.002063746	0.00331262
54	2	89.16641868	0.015063578	0.017367493	0.013191019	0.013797969	0.014789632	82.08294914	0.013933885	0.013281493	0.0185451
54	3	27.29494214	0.041008205	0.050927004	0.038924098	0.043079173	0.044764119	27.64400861	0.052483777	0.041735233	0.048184984
