Year	Age	Australia	Austria	Belgium	Bulgaria	Canada	Croatia	CzechRepublic	Denmark	EnglandandWales	Finland	France	Germany	Greece	Hungary	Italy	Lithuania	Netherlands	NewZealand	Norway	Poland	Portugal	Scotland	Slovakia	Slovenia	SouthKorea	Spain	Sweden	Switzerland	Taiwan	USA
10	1	591.9166361	0.002192336	0.002496885	0.005126633	0.002108057	0.00415382	0.003233126	0.002942286	0.00209515	0.002513755	0.002488741	0.002648834	0.002416674	0.004945504	0.001932786	0.006080876	0.00198083	484.4823457	0.002011667	0.004071891	0.002218522	0.002706084	0.004163155	0.003157335	0.001913497	0.001862787	0.001710959	0.001484222	0.002738247	0.003356807
10	2	86.17809517	0.019319873	0.017310217	0.033998564	0.015263725	0.025268184	0.021857868	0.018939294	0.01591643	0.015165732	0.013113886	0.019351087	0.017040919	0.03022255	0.015193349	0.026861947	0.015735746	78.42865705	0.012599884	0.02653289	0.015737973	0.019250639	0.026100007	0.018101693	0.013671844	0.01414372	0.01435878	0.013709396	0.017493165	0.018795137
10	3	29.09725015	0.045127701	0.049443939	0.08727049	0.043006375	0.074577886	0.061431476	0.054435377	0.048677598	0.042664919	0.040177743	0.050687297	0.049450638	0.074453905	0.045469048	0.070223974	0.046874338	27.31563669	0.044938115	0.065036497	0.049051483	0.061081176	0.079718729	0.053293722	0.047993088	0.044474257	0.049669219	0.045759634	0.051028093	0.048813711
10	4	8.484112939	0.175763664	0.173605482	0.242457371	0.142634252	0.233950616	0.198107079	0.18103474	0.172295835	0.155493576	0.147657679	0.200601906	0.165222882	0.204390045	0.167411418	0.190517491	0.187927563	8.126364801	0.166815024	0.192142471	0.170097252	0.194294923	0.196763515	0.188541332	0.164579218	0.156979596	0.173875084	0.190982256	0.137598627	0.162695022
11	1	603.507895	0.002254974	0.002482657	0.005357662	0.002069858	0.003893042	0.003121895	0.002387943	0.002173368	0.002334202	0.002452615	0.002770416	0.002357003	0.004929829	0.001872303	0.005677278	0.002187362	479.9143457	0.00156971	0.004056327	0.002433673	0.00263255	0.003945474	0.003270097	0.001916289	0.00178679	0.001727815	0.001596238	0.002756222	0.003310202
11	2	90.62860712	0.017468128	0.015554108	0.030666581	0.015128461	0.026985439	0.022968532	0.015727848	0.014956831	0.013839767	0.012607212	0.018606337	0.016899305	0.030171841	0.014459602	0.031745938	0.01576538	75.40869348	0.012384501	0.024759809	0.015204736	0.019917741	0.025312507	0.01783935	0.013725354	0.013319579	0.013786337	0.012534305	0.017234486	0.018819755
11	3	26.59787097	0.042022139	0.050678222	0.087162882	0.042505326	0.07717944	0.062095087	0.051953521	0.047227561	0.045236918	0.038681558	0.05028837	0.049271035	0.076084282	0.044240742	0.064666681	0.045166812	26.51482042	0.043468177	0.064570099	0.04889713	0.055102331	0.06939702	0.049740807	0.049324885	0.042929289	0.04121299	0.039052548	0.052252322	0.048226546
11	4	8.064568893	0.172886223	0.178192619	0.227329339	0.139448872	0.238725119	0.188566512	0.177951423	0.162860677	0.147908524	0.143640611	0.183206185	0.151761464	0.196146219	0.163443186	0.212744531	0.181683134	7.877569265	0.160503104	0.187209903	0.162610991	0.18534124	0.185398114	0.158281612	0.159423481	0.148036468	0.184590642	0.17943091	0.154418016	0.156464339
12	1	612.0094972	0.00248763	0.002354612	0.005335659	0.002116071	0.003129335	0.002743708	0.002387943	0.002049056	0.002214499	0.002608153	0.002573559	0.002304791	0.004906317	0.001768809	0.005435119	0.001905728	538.5360613	0.001493511	0.004040763	0.002302747	0.003088466	0.004013499	0.003307685	0.001824173	0.00187292	0.001862669	0.001493556	0.002756222	0.003204591
12	2	83.20643671	0.019011249	0.015403584	0.030543174	0.014797432	0.0249002	0.021680161	0.017292399	0.015224411	0.015580097	0.012674676	0.018525656	0.015058319	0.029056243	0.014028924	0.032121629	0.014994891	77.27645331	0.01389218	0.025678012	0.012902441	0.023443848	0.024187507	0.020987471	0.013350783	0.013549854	0.014883519	0.012403739	0.017299155	0.018151273
12	3	28.22631205	0.043380822	0.050315198	0.088238967	0.041466673	0.069548214	0.061241872	0.053277178	0.047087235	0.042664919	0.037798595	0.047417654	0.045439509	0.075269093	0.044327702	0.061888035	0.048692026	25.35920107	0.044308142	0.063740949	0.045646351	0.053809607	0.067859745	0.063952466	0.046273861	0.043467424	0.049313167	0.034617217	0.050249038	0.048049644
12	4	8.057190513	0.164493688	0.163901923	0.227329339	0.136971354	0.209396033	0.198948894	0.170903842	0.162519647	0.149425534	0.135874119	0.175490727	0.157370388	0.184775424	0.157930275	0.188929845	0.189414331	7.213120473	0.160052253	0.177268883	0.147300216	0.167881558	0.185398114	0.150134764	0.152751351	0.143644046	0.168820576	0.158895184	0.137918996	0.154461939
