Year	Age	Bulgaria	Canada	Denmark	EnglandandWales	Finland	France	Germany	Greece	Netherlands	NewZealand	Poland	Portugal	USA
21	2	0.02573031	0.013675737	0.019680397	0.01259474	0.01218231	0.012178674	0.015745256	0.013170129	0.01469855	75.15628455	0.021371958	0.015060842	0.017437342
21	3	0.063381404	0.038292072	0.041364268	0.038418194	0.042059743	0.033724981	0.041152141	0.037477118	0.039107849	24.19702362	0.05127778	0.038806171	0.043612034
21	4	0.172950199	0.121398384	0.14183257	0.116783761	0.139564966	0.111555708	0.138686555	0.119389959	0.151799083	6.856962516	0.135683546	0.135861131	0.138719855
22	1	0.00436754	0.002093833	0.002245803	0.002121688	0.001780577	0.002381916	0.002606199	0.002237661	0.001778992	465.5091106	0.003881234	0.001886867	0.00316348
22	2	0.02900059	0.013005131	0.016304262	0.015611942	0.013425402	0.012834901	0.016092806	0.013500562	0.014224403	73.56199077	0.022211005	0.012614655	0.016854077
22	3	0.068869437	0.036686106	0.048313466	0.04513826	0.039790332	0.034266744	0.042067328	0.039871822	0.039768827	23.44078677	0.053765231	0.041244255	0.043318452
22	4	0.185625036	0.111488311	0.135665936	0.150356251	0.134634682	0.113680381	0.144916427	0.132530867	0.148379515	6.541214654	0.140995541	0.127237821	0.135832465
23	1	0.004631572	0.002137006	0.002174733	0.002036485	0.00248383	0.002360063	0.002518439	0.002155614	0.001652256	491.6194849	0.003673067	0.002302747	0.003219098
23	2	0.027704819	0.013427386	0.017951157	0.014633889	0.014254131	0.012227731	0.0164838	0.016002414	0.01540977	70.02340639	0.020422093	0.013525979	0.017338869
23	3	0.069730305	0.037551155	0.047320723	0.043360795	0.038126098	0.033163041	0.039971001	0.042146791	0.044395671	23.07372261	0.051666444	0.037790303	0.043871742
23	4	0.183171842	0.110426518	0.153725363	0.138685453	0.127808135	0.112521989	0.139860646	0.122755313	0.147487454	6.738378719	0.141450855	0.114918806	0.13614534
24	1	0.004598568	0.002158705	0.001790957	0.002014137	0.002693309	0.002316359	0.002448879	0.002170531	0.001727359	533.4151852	0.003369572	0.00231815	0.003224031
24	2	0.024126022	0.012960148	0.016221917	0.014172543	0.016491698	0.012000042	0.015894206	0.015294343	0.014076232	64.21701721	0.021086998	0.013861731	0.016990425
24	3	0.068546612	0.036468326	0.042853382	0.041349453	0.041757155	0.031591887	0.039063636	0.045559244	0.040925538	22.12610107	0.048401664	0.037180782	0.042460288
24	4	0.183580708	0.110072587	0.142713518	0.136487705	0.125153366	0.109204776	0.131019019	0.136857751	0.142581117	6.530981856	0.133406976	0.123014159	0.135170958
25	1	0.004433548	0.002061844	0.002359515	0.002001566	0.002289313	0.002399912	0.002475074	0.002185449	0.001802462	483.6294363	0.003686686	0.001909971	0.003206799
25	2	0.024002616	0.013043457	0.014986746	0.014513939	0.013922639	0.012244597	0.016849969	0.012650876	0.013513183	77.30388856	0.020279613	0.012854477	0.01722714
25	3	0.06510314	0.03646148	0.041529726	0.041817207	0.03857998	0.032578727	0.040745391	0.038435	0.040319642	23.57887822	0.047676157	0.038670722	0.042576968
25	4	0.172541333	0.115381554	0.129058829	0.129780786	0.131600661	0.111995447	0.134205838	0.113781034	0.142283764	6.433214446	0.131130407	0.111399088	0.134241272
26	1	0.004246525	0.002088071	0.002217375	0.001889825	0.002573607	0.002529887	0.002839689	0.002200367	0.002074708	503.7366279	0.003933762	0.001909971	0.003207263
26	2	0.026162234	0.012591108	0.01696302	0.014901469	0.016325952	0.013105527	0.018426356	0.013736586	0.015795014	65.90392197	0.022021032	0.01213501	0.017037768
