Year	Age	Croatia	Lithuania	Slovakia	SouthKorea	Sweden
51	3	5765.784263	3958.761987	4553.509615	41297.61314	11234.3221
51	4	1466.121378	1259.726859	1407.781314	9891.892885	4946.079553
52	1	53685.5245	37165.70083	73501.94337	716489.1188	118646.9419
52	2	8152.544872	5323.515769	8888.88648	74752.16994	20962.78428
52	3	5765.784263	3958.761987	4553.509615	41297.61314	11234.3221
52	4	1466.121378	1259.726859	1407.781314	9891.892885	4946.079553
53	1	52989.23228	36460.01993	72977.23265	718552.6491	119679.9715
53	2	8267.708333	5307.045513	9312.225837	75992.93465	21327.1881
53	3	5765.538462	3953.085353	4642.753205	43709.94753	11439.42467
53	4	1541.505	1304.920481	1460.596827	10656.37308	4991.65125
54	1	52989.23228	36460.01993	72977.23265	718552.6491	119679.9715
54	2	8267.708333	5307.045513	9312.225837	75992.93465	21327.1881
54	3	5765.538462	3953.085353	4642.753205	43709.94753	11439.42467
54	4	1541.505	1304.920481	1460.596827	10656.37308	4991.65125
55	1	52989.23228	36460.01993	72977.23265	718552.6491	119679.9715
55	2	8267.708333	5307.045513	9312.225837	75992.93465	21327.1881
55	3	5765.538462	3953.085353	4642.753205	43709.94753	11439.42467
55	4	1541.505	1304.920481	1460.596827	10656.37308	4991.65125
56	1	52989.23228	36460.01993	72977.23265	718552.6491	119679.9715
56	2	8267.708333	5307.045513	9312.225837	75992.93465	21327.1881
56	3	5765.538462	3953.085353	4642.753205	43709.94753	11439.42467
56	4	1541.505	1304.920481	1460.596827	10656.37308	4991.65125
57	1	52989.23228	36460.01993	72977.23265	718552.6491	119679.9715
57	2	8267.708333	5307.045513	9312.225837	75992.93465	21327.1881
57	3	5765.538462	3953.085353	4642.753205	43709.94753	11439.42467
57	4	1541.505	1304.920481	1460.596827	10656.37308	4991.65125
58	1	52989.23228	36460.01993	72977.23265	718552.6491	119679.9715
58	2	8267.708333	5307.045513	9312.225837	75992.93465	21327.1881
58	3	5765.538462	3953.085353	4642.753205	43709.94753	11439.42467
58	4	1541.505	1304.920481	1460.596827	10656.37308	4991.65125
59	1	52989.23228	36460.01993	72977.23265	718552.6491	119679.9715
59	2	8267.708333	5307.045513	9312.225837	75992.93465	21327.1881
59	3	5765.538462	3953.085353	4642.753205	43709.94753	11439.42467
59	4	1541.505	1304.920481	1460.596827	10656.37308	4991.65125
60	1	52989.23228	36460.01993	72977.23265	718552.6491	119679.9715
60	2	8267.708333	5307.045513	9312.225837	75992.93465	21327.1881
60	3	5765.538462	3953.085353	4642.753205	43709.94753	11439.42467
60	4	1541.505	1304.920481	1460.596827	10656.37308	4991.65125
61	1	52989.23228	36460.01993	72977.23265	718552.6491	119679.9715
61	2	8267.708333	5307.045513	9312.225837	75992.93465	21327.1881
61	3	5765.538462	3953.085353	4642.753205	43709.94753	11439.42467
61	4	1541.505	1304.920481	1460.596827	10656.37308	4991.65125
62	1	52989.23228	36460.01993	72977.23265	718552.6491	119679.9715
62	2	8267.708333	5307.045513	9312.225837	75992.93465	21327.1881
62	3	5765.538462	3953.085353	4642.753205	43709.94753	11439.42467
62	4	1541.505	1304.920481	1460.596827	10656.37308	4991.65125
63	1	52989.23228	36460.01993	72977.23265	718552.6491	119679.9715
63	2	8267.708333	5307.045513	9312.225837	75992.93465	21327.1881
63	3	5765.538462	3953.085353	4642.753205	43709.94753	11439.42467
63	4	1541.505	1304.920481	1460.596827	10656.37308	4991.65125
64	1	52989.23228	36460.01993	72977.23265	718552.6491	119679.9715
64	2	8267.708333	5307.045513	9312.225837	75992.93465	21327.1881
64	3	5765.538462	3953.085353	4642.753205	43709.94753	11439.42467
64	4	1541.505	1304.920481	1460.596827	10656.37308	4991.65125
65	1	52989.23228	36460.01993	72977.23265	718552.6491	119679.9715
65	2	8267.708333	5307.045513	9312.225837	75992.93465	21327.1881
65	3	5765.538462	3953.085353	4642.753205	43709.94753	11439.42467
65	4	1541.505	1304.920481	1460.596827	10656.37308	4991.65125
66	1	52989.23228	36460.01993	72977.23265	718552.6491	119679.9715
66	2	8267.708333	5307.045513	9312.225837	75992.93465	21327.1881
66	3	5765.538462	3953.085353	4642.753205	43709.94753	11439.42467
66	4	1541.505	1304.920481	1460.596827	10656.37308	4991.65125
67	1	52989.23228	36460.01993	72977.23265	718552.6491	119679.9715
67	2	8267.708333	5307.045513	9312.225837	75992.93465	21327.1881
67	3	5765.538462	3953.085353	4642.753205	43709.94753	11439.42467
67	4	1541.505	1304.920481	1460.596827	10656.37308	4991.65125
68	1	52989.23228	36460.01993	72977.23265	718552.6491	119679.9715
68	2	8267.708333	5307.045513	9312.225837	75992.93465	21327.1881
68	3	5765.538462	3953.085353	4642.753205	43709.94753	11439.42467
68	4	1541.505	1304.920481	1460.596827	10656.37308	4991.65125
69	1	52989.23228	36460.01993	72977.23265	718552.6491	119679.9715
69	2	8267.708333	5307.045513	9312.225837	75992.93465	21327.1881
69	3	5765.538462	3953.085353	4642.753205	43709.94753	11439.42467
69	4	1541.505	1304.920481	1460.596827	10656.37308	4991.65125
70	1	52989.23228	36460.01993	72977.23265	718552.6491	119679.9715
70	2	8267.708333	5307.045513	9312.225837	75992.93465	21327.1881
70	3	5765.538462	3953.085353	4642.753205	43709.94753	11439.42467
70	4	1541.505	1304.920481	1460.596827	10656.37308	4991.65125
71	1	52989.23228	36460.01993	72977.23265	718552.6491	119679.9715
71	2	8267.708333	5307.045513	9312.225837	75992.93465	21327.1881
71	3	5765.538462	3953.085353	4642.753205	43709.94753	11439.42467
71	4	1541.505	1304.920481	1460.596827	10656.37308	4991.65125
72	1	52989.23228	36460.01993	72977.23265	718552.6491	119679.9715
72	2	8267.708333	5307.045513	9312.225837	75992.93465	21327.1881
72	3	5765.538462	3953.085353	4642.753205	43709.94753	11439.42467
72	4	1541.505	1304.920481	1460.596827	10656.37308	4991.65125
73	1	52989.23228	36460.01993	72977.23265	718552.6491	119679.9715
73	2	8267.708333	5307.045513	9312.225837	75992.93465	21327.1881
73	3	5765.538462	3953.085353	4642.753205	43709.94753	11439.42467
73	4	1541.505	1304.920481	1460.596827	10656.37308	4991.65125
74	1	52989.23228	36460.01993	72977.23265	718552.6491	119679.9715
74	2	8267.708333	5307.045513	9312.225837	75992.93465	21327.1881
74	3	5765.538462	3953.085353	4642.753205	43709.94753	11439.42467
74	4	1541.505	1304.920481	1460.596827	10656.37308	4991.65125
75	1	52989.23228	36460.01993	72977.23265	718552.6491	119679.9715
75	2	8267.708333	5307.045513	9312.225837	75992.93465	21327.1881
75	3	5765.538462	3953.085353	4642.753205	43709.94753	11439.42467
75	4	1541.505	1304.920481	1460.596827	10656.37308	4991.65125
76	1	52989.23228	36460.01993	72977.23265	718552.6491	119679.9715
76	2	8267.708333	5307.045513	9312.225837	75992.93465	21327.1881
76	3	5765.538462	3953.085353	4642.753205	43709.94753	11439.42467
76	4	1541.505	1304.920481	1460.596827	10656.37308	4991.65125
77	1	52989.23228	36460.01993	72977.23265	718552.6491	119679.9715
77	2	8267.708333	5307.045513	9312.225837	75992.93465	21327.1881
77	3	5765.538462	3953.085353	4642.753205	43709.94753	11439.42467
77	4	1541.505	1304.920481	1460.596827	10656.37308	4991.65125
78	1	52989.23228	36460.01993	72977.23265	718552.6491	119679.9715
78	2	8267.708333	5307.045513	9312.225837	75992.93465	21327.1881
78	3	5765.538462	3953.085353	4642.753205	43709.94753	11439.42467
78	4	1541.505	1304.920481	1460.596827	10656.37308	4991.65125
79	1	52989.23228	36460.01993	72977.23265	718552.6491	119679.9715
79	2	8267.708333	5307.045513	9312.225837	75992.93465	21327.1881
79	3	5765.538462	3953.085353	4642.753205	43709.94753	11439.42467
79	4	1541.505	1304.920481	1460.596827	10656.37308	4991.65125
80	1	52989.23228	36460.01993	72977.23265	718552.6491	119679.9715
80	2	8267.708333	5307.045513	9312.225837	75992.93465	21327.1881
80	3	5765.538462	3953.085353	4642.753205	43709.94753	11439.42467
80	4	1541.505	1304.920481	1460.596827	10656.37308	4991.65125
81	1	52989.23228	36460.01993	72977.23265	718552.6491	119679.9715
81	2	8267.708333	5307.045513	9312.225837	75992.93465	21327.1881
81	3	5765.538462	3953.085353	4642.753205	43709.94753	11439.42467
81	4	1541.505	1304.920481	1460.596827	10656.37308	4991.65125
82	1	52989.23228	36460.01993	72977.23265	718552.6491	119679.9715
82	2	8267.708333	5307.045513	9312.225837	75992.93465	21327.1881
82	3	5765.538462	3953.085353	4642.753205	43709.94753	11439.42467
82	4	1541.505	1304.920481	1460.596827	10656.37308	4991.65125
83	1	52989.23228	36460.01993	72977.23265	718552.6491	119679.9715
83	2	8267.708333	5307.045513	9312.225837	75992.93465	21327.1881
83	3	5765.538462	3953.085353	4642.753205	43709.94753	11439.42467
83	4	1541.505	1304.920481	1460.596827	10656.37308	4991.65125
84	1	52989.23228	36460.01993	72977.23265	718552.6491	119679.9715
84	2	8267.708333	5307.045513	9312.225837	75992.93465	21327.1881
84	3	5765.538462	3953.085353	4642.753205	43709.94753	11439.42467
84	4	1541.505	1304.920481	1460.596827	10656.37308	4991.65125
85	1	52989.23228	36460.01993	72977.23265	718552.6491	119679.9715
85	2	8267.708333	5307.045513	9312.225837	75992.93465	21327.1881
85	3	5765.538462	3953.085353	4642.753205	43709.94753	11439.42467
85	4	1541.505	1304.920481	1460.596827	10656.37308	4991.65125
