Year	Age	Australia	NewZealand
114	4	0.130753797	0.137652591
115	1	0.001631438	0.001623365
115	2	0.01098184	0.012678725
115	3	0.032936877	0.037749123
115	4	0.115625258	0.129966612
116	1	0.001582682	0.001763199
116	2	0.012164499	0.014562093
116	3	0.033391179	0.039643962
116	4	0.121460552	0.123822111
117	1	0.001728666	0.002278049
117	2	0.011271471	0.012297122
117	3	0.033482039	0.036103799
117	4	0.117354234	0.125546726
118	1	0.001690581	0.001794562
118	2	0.012743761	0.013459886
118	3	0.034299782	0.038888108
118	4	0.124270138	0.13186151
119	1	0.00165843	0.001966748
119	2	0.010499121	0.013386548
119	3	0.034981235	0.036389249
119	4	0.131834407	0.115680612
120	1	0.001599535	0.002246596
120	2	0.011657645	0.013684162
120	3	0.034617793	0.037055958
120	4	0.13431981	0.114965206
121	1	0.001729906	0.00206048
121	2	0.011247335	0.013267563
121	3	0.034935805	0.039769716
121	4	0.130861858	0.140484231
122	1	0.001664835	0.001825118
122	2	0.011078383	0.012538439
122	3	0.036026129	0.040904231
122	4	0.125891052	0.152347344
123	1	0.001652246	0.002075757
123	2	0.011633509	0.01245658
123	3	0.037752475	0.039425892
123	4	0.135832663	0.144141944
124	1	0.001646817	0.001685014
124	2	0.011971412	0.014775718
124	3	0.034754084	0.041343843
124	4	0.139398676	0.137652591
125	1	0.001801687	0.001965311
125	2	0.012623082	0.013563047
125	3	0.035208386	0.043854574
125	4	0.138966432	0.163273717
126	1	0.001708377	0.002011683
126	2	0.011150791	0.013373767
126	3	0.038025056	0.043919472
126	4	0.145017848	0.164040173
127	1	0.00170592	0.001980858
127	2	0.01139215	0.012942257
127	3	0.036980162	0.042037073
127	4	0.153338544	0.158615362
128	1	0.001684392	0.002370613
128	2	0.011850732	0.014105021
128	3	0.036934732	0.045017469
128	4	0.152365995	0.166288492
129	1	0.001684908	0.001950842
129	2	0.012092092	0.015185926
129	3	0.038297637	0.048304117
129	4	0.144585604	0.174191523
130	1	0.001685411	0.002012761
130	2	0.013274751	0.013589522
130	3	0.039842263	0.044690553
130	4	0.144261421	0.169064798
131	1	0.001799202	0.002199595
131	2	0.013998829	0.014503665
131	3	0.04152318	0.046819724
131	4	0.149772531	0.177691802
132	1	0.001807377	0.001949854
132	2	0.013950557	0.013673511
132	3	0.039615113	0.045712888
132	4	0.158201288	0.171594068
133	1	0.001952096	0.002089418
133	2	0.0140471	0.014987212
133	3	0.041841191	0.052223892
133	4	0.168575143	0.208576021
134	1	0.0016859	0.002246506
134	2	0.013854013	0.01591079
134	3	0.0441127	0.054799124
134	4	0.166413923	0.211633279
135	1	0.001888548	0.002137317
135	2	0.012912713	0.018404297
135	3	0.043476677	0.057947519
135	4	0.177544205	0.211045674
136	1	0.001856353	0.002448708
136	2	0.013057528	0.016656955
136	3	0.042431783	0.051720257
136	4	0.178408693	0.189797667
137	1	0.001840524	0.001965311
137	2	0.012333451	0.0153889
137	3	0.042250063	0.048561073
137	4	0.176139412	0.179995454
138	1	0.001830649	0.001965131
138	2	0.013226479	0.014337817
138	3	0.040205705	0.046135405
138	4	0.176895839	0.172194523
139	1	0.001994418	0.001825387
139	2	0.014191916	0.015422983
139	3	0.045793616	0.048008567
139	4	0.172465339	0.172543659
140	1	0.001794251	0.001856661
140	2	0.013854013	0.015410202
140	3	0.042068342	0.045681825
140	4	0.165549436	0.158730313
141	1	0.001857862	0.00233934
141	2	0.012912713	0.014074286
141	3	0.039796833	0.043603366
141	4	0.181974706	0.158909165
142	1	0.001717347	0.001920107
142	2	0.013178208	0.01427513
142	3	0.041341459	0.043660058
142	4	0.171600851	0.153407603
143	1	0.001745033	0.001809301
143	2	0.012357587	0.013250521
143	3	0.040341995	0.041818603
143	4	0.147935494	0.152053542
144	1	0.00173462	0.002044034
144	2	0.012285179	0.013250521
144	3	0.037161883	0.040642079
144	4	0.150096714	0.143903475
145	1	0.001764316	0.001949674
145	2	0.01245413	0.014786368
145	3	0.035980699	0.041357452
145	4	0.140263164	0.136941469
146	1	0.001760112	0.001871041
146	2	0.011874868	0.013105975
146	3	0.034436073	0.040529518
146	4	0.135184298	0.143665007
147	1	0.00172545	0.001825387
