Year	Age	Australia	NewZealand
142	2	41432.03837	7932.787436
142	3	22011.80167	4180.755385
142	4	9254.033365	1605.046987
143	1	310872.2796	60776.02178
143	2	41432.03837	7932.787436
143	3	22011.80167	4180.755385
143	4	9254.033365	1605.046987
144	1	310872.2796	60776.02178
144	2	41432.03837	7932.787436
144	3	22011.80167	4180.755385
144	4	9254.033365	1605.046987
145	1	310872.2796	60776.02178
145	2	41432.03837	7932.787436
145	3	22011.80167	4180.755385
145	4	9254.033365	1605.046987
146	1	310872.2796	60776.02178
146	2	41432.03837	7932.787436
146	3	22011.80167	4180.755385
146	4	9254.033365	1605.046987
147	1	310872.2796	60776.02178
147	2	41432.03837	7932.787436
147	3	22011.80167	4180.755385
147	4	9254.033365	1605.046987
148	1	310872.2796	60776.02178
148	2	41432.03837	7932.787436
148	3	22011.80167	4180.755385
148	4	9254.033365	1605.046987
149	1	310872.2796	60776.02178
149	2	41432.03837	7932.787436
149	3	22011.80167	4180.755385
149	4	9254.033365	1605.046987
150	1	310872.2796	60776.02178
150	2	41432.03837	7932.787436
150	3	22011.80167	4180.755385
150	4	9254.033365	1605.046987
151	1	310872.2796	60776.02178
151	2	41432.03837	7932.787436
151	3	22011.80167	4180.755385
151	4	9254.033365	1605.046987
152	1	310872.2796	60776.02178
152	2	41432.03837	7932.787436
152	3	22011.80167	4180.755385
152	4	9254.033365	1605.046987
153	1	310872.2796	60776.02178
153	2	41432.03837	7932.787436
153	3	22011.80167	4180.755385
153	4	9254.033365	1605.046987
154	1	310872.2796	60776.02178
154	2	41432.03837	7932.787436
154	3	22011.80167	4180.755385
154	4	9254.033365	1605.046987
155	1	310872.2796	60776.02178
155	2	41432.03837	7932.787436
155	3	22011.80167	4180.755385
155	4	9254.033365	1605.046987
156	1	310872.2796	60776.02178
156	2	41432.03837	7932.787436
156	3	22011.80167	4180.755385
156	4	9254.033365	1605.046987
157	1	314816.8785	61843.2842
157	2	42795.3599	8205.518622
157	3	22801.89888	4312.025192
157	4	9458.465449	1632.935962
158	1	314816.8785	61843.2842
158	2	42795.3599	8205.518622
158	3	22801.89888	4312.025192
158	4	9458.465449	1632.935962
159	1	314816.8785	61843.2842
159	2	42795.3599	8205.518622
159	3	22801.89888	4312.025192
159	4	9458.465449	1632.935962
160	1	314816.8785	61843.2842
160	2	42795.3599	8205.518622
160	3	22801.89888	4312.025192
160	4	9458.465449	1632.935962
161	1	314816.8785	61843.2842
161	2	42795.3599	8205.518622
161	3	22801.89888	4312.025192
161	4	9458.465449	1632.935962
162	1	314816.8785	61843.2842
162	2	42795.3599	8205.518622
162	3	22801.89888	4312.025192
162	4	9458.465449	1632.935962
163	1	314816.8785	61843.2842
163	2	42795.3599	8205.518622
163	3	22801.89888	4312.025192
163	4	9458.465449	1632.935962
164	1	314816.8785	61843.2842
164	2	42795.3599	8205.518622
164	3	22801.89888	4312.025192
164	4	9458.465449	1632.935962
165	1	314816.8785	61843.2842
165	2	42795.3599	8205.518622
165	3	22801.89888	4312.025192
165	4	9458.465449	1632.935962
166	1	314816.8785	61843.2842
166	2	42795.3599	8205.518622
166	3	22801.89888	4312.025192
166	4	9458.465449	1632.935962
167	1	314816.8785	61843.2842
167	2	42795.3599	8205.518622
167	3	22801.89888	4312.025192
167	4	9458.465449	1632.935962
168	1	314816.8785	61843.2842
168	2	42795.3599	8205.518622
168	3	22801.89888	4312.025192
168	4	9458.465449	1632.935962
169	1	314816.8785	61843.2842
169	2	42795.3599	8205.518622
169	3	22801.89888	4312.025192
169	4	9458.465449	1632.935962
170	1	314816.8785	61843.2842
170	2	42795.3599	8205.518622
170	3	22801.89888	4312.025192
170	4	9458.465449	1632.935962
171	1	314816.8785	61843.2842
